ID,Label,T_10_CENS_Total,T_10_CENS_White,T_10_CENS_Hispanic,T_10_CENS_Black,T_10_CENS_Asian,T_10_CENS_Native,T_10_CENS_Pacific,T_10_CENS_BlackAlone,T_10_CENS_NativeAlone,T_19_ACS_Total,T_19_ACS_White,T_19_ACS_Hispanic,T_19_ACS_Black,T_19_ACS_Asian,T_19_ACS_Native,T_19_ACS_Pacific,T_19_ACS_BlackAlone,T_19_ACS_NativeAlone,T_20_CENS_Total,T_20_CENS_White,T_20_CENS_Hispanic,T_20_CENS_Black,T_20_CENS_Asian,T_20_CENS_Native,T_20_CENS_Pacific,T_20_ACS_Total,T_20_ACS_White,T_20_ACS_Hispanic,T_20_ACS_Black,T_20_ACS_Asian,T_20_ACS_Native,T_20_ACS_Pacific,T_20_ACS_BlackAlone,T_20_ACS_AsianAlone,T_20_ACS_NativeAlone,T_20_ACS_PacificAlone,T_20_ACS_TwoOrMore,T_22_ACS_Total,T_22_ACS_White,T_22_ACS_Hispanic,T_22_ACS_Black,T_22_ACS_Asian,T_22_ACS_Native,T_22_ACS_Pacific,V_10_VAP_Total,V_10_VAP_White,V_10_VAP_Hispanic,V_10_VAP_Black,V_10_VAP_Asian,V_10_VAP_Native,V_10_VAP_Pacific,V_10_VAP_BlackAlone,V_10_VAP_NativeAlone,V_19_CVAP_Total,V_19_CVAP_White,V_19_CVAP_Hispanic,V_19_CVAP_Black,V_19_CVAP_Asian,V_19_CVAP_Native,V_19_CVAP_Pacific,V_19_CVAP_BlackAlone,V_19_CVAP_AsianAlone,V_19_CVAP_NativeAlone,V_19_CVAP_PacificAlone,V_19_CVAP_OtherAlone,V_19_CVAP_TwoOrMore,V_20_VAP_Total,V_20_VAP_White,V_20_VAP_Hispanic,V_20_VAP_Black,V_20_VAP_Asian,V_20_VAP_Native,V_20_VAP_Pacific,V_20_VAP_NH_Total,V_20_VAP_NH_White,V_20_VAP_NH_Hispanic,V_20_VAP_NH_BlackAlone,V_20_VAP_NH_AsianAlone,V_20_VAP_NH_NativeAlone,V_20_VAP_NH_PacificAlone,V_20_VAP_NH_TwoOrMore,V_20_CVAP_Total,V_20_CVAP_White,V_20_CVAP_Hispanic,V_20_CVAP_Black,V_20_CVAP_Asian,V_20_CVAP_Native,V_20_CVAP_Pacific,V_20_CVAP_BlackAlone,V_20_CVAP_AsianAlone,V_20_CVAP_NativeAlone,V_20_CVAP_PacificAlone,V_22_CVAP_Total,V_22_CVAP_White,V_22_CVAP_Hispanic,V_22_CVAP_Black,V_22_CVAP_Asian,V_22_CVAP_Native,V_22_CVAP_Pacific,V_22_CVAP_BlackAlone,V_22_CVAP_AsianAlone,V_22_CVAP_NativeAlone,V_22_CVAP_PacificAlone,V_24_CVAP_Total,V_24_CVAP_White,V_24_CVAP_Hispanic,V_24_CVAP_Black,V_24_CVAP_Asian,V_24_CVAP_Native,V_24_CVAP_Pacific,V_24_CVAP_BlackAlone,V_24_CVAP_AsianAlone,V_24_CVAP_NativeAlone,V_24_CVAP_PacificAlone,E_08_PRES_Total,E_08_PRES_Dem,E_08_PRES_Rep,E_12_PRES_Total,E_12_PRES_Dem,E_12_PRES_Rep,E_14_SEN_Total,E_14_SEN_Dem,E_14_SEN_Rep,E_16_PRES_Total,E_16_PRES_Dem,E_16_PRES_Rep,E_16_SEN_Total,E_16_SEN_Dem,E_16_SEN_Rep,E_16_GOV_Total,E_16_GOV_Dem,E_16_GOV_Rep,E_16_AG_Total,E_16_AG_Dem,E_16_AG_Rep,E_16_AUD_Total,E_16_AUD_Dem,E_16_AUD_Rep,E_16_LTG_Total,E_16_LTG_Dem,E_16_LTG_Rep,E_16_SOS_Total,E_16_SOS_Dem,E_16_SOS_Rep,E_16_TREAS_Total,E_16_TREAS_Dem,E_16_TREAS_Rep,E_16-20_COMP_Total,E_16-20_COMP_Dem,E_16-20_COMP_Rep,E_20_PRES_Total,E_20_PRES_Dem,E_20_PRES_Rep,E_20_SEN_Total,E_20_SEN_Dem,E_20_SEN_Rep,E_20_GOV_Total,E_20_GOV_Dem,E_20_GOV_Rep,E_20_AG_Total,E_20_AG_Dem,E_20_AG_Rep,E_20_AUD_Total,E_20_AUD_Dem,E_20_AUD_Rep,E_20_LTG_Total,E_20_LTG_Dem,E_20_LTG_Rep,E_20_SOS_Total,E_20_SOS_Dem,E_20_SOS_Rep,E_20_TREAS_Total,E_20_TREAS_Dem,E_20_TREAS_Rep,E_16-22_COMP_Total,E_16-22_COMP_Dem,E_16-22_COMP_Rep,E_22_SEN_Total,E_22_SEN_Dem,E_22_SEN_Rep,E_22_CONG_Total,E_22_CONG_Dem,E_22_CONG_Rep,E_22_SC3_Total,E_22_SC3_Dem,E_22_SC3_Rep,E_22_SC5_Total,E_22_SC5_Dem,E_22_SC5_Rep,E_20-24_COMP_Total,E_20-24_COMP_Dem,E_20-24_COMP_Rep,E_24_PRES_Total,E_24_PRES_Dem,E_24_PRES_Rep,E_24_GOV_Total,E_24_GOV_Dem,E_24_GOV_Rep,E_24_AG_Total,E_24_AG_Dem,E_24_AG_Rep,E_24_AUD_Total,E_24_AUD_Dem,E_24_AUD_Rep,E_24_LTG_Total,E_24_LTG_Dem,E_24_LTG_Rep,E_24_SOS_Total,E_24_SOS_Dem,E_24_SOS_Rep,E_24_TREAS_Total,E_24_TREAS_Dem,E_24_TREAS_Rep,E_24_CONG_Total,E_24_CONG_Dem,E_24_CONG_Rep,E_24_SC6_Total,E_24_SC6_Dem,E_24_SC6_Rep,Reock,Rating,Polsby-Popper,Rating,KIWYSI Score
1,1,783446,455338,34577,278992,8495,10730,942,0,0,766887,440198,41169,269987,10383,12365,1544,0,0,745671,426065,42659,251298,11397,17872,1423,767247,439417,42388,268066,11018,12825,1694,254941,7591,5190,468,16070,748509,426184,44599,256126,11191,14535,1876,607519,369246,21368,206015,5666,7793,606,0,0,594149,362655,15400,203853,4594,7661,412,200537,3801,4514,412,1085,0,596783,356476,27614,192997,7888,13381,1003,596783,356476,27614,185061,5526,4112,323,15905,595561,364269,15577,202712,4993,7905,422,0,0,0,0,581572,356119,17148,193992,5606,8562,387,189097,4172,3427,387,584947,359304,19295,190735,6184,8937,370,185109,4494,3207,370,372010,189610,178316,375181,191551,183630,254705,123939,122583,376463,174505,191843,371757,171212,190584,373506,177969,190118,363885,181428,182457,358871,188513,170358,367103,172551,186970,360889,193629,167260,358731,175244,183487,398155,186555,204892,413926,190436,218891,409703,186014,208304,412513,200633,207323,404963,194690,210273,403134,204570,198564,406644,187680,218964,404147,200553,203594,401154,184212,216942,384756,178592,200031,286277,121194,159138,285092,123352,161740,284438,121562,162876,284495,122289,162206,390793,179435,204625,416845,182065,230368,409289,202013,191234,409304,192087,217217,405001,179283,215593,409414,186598,212076,408143,195549,212594,405650,179976,225674,391808,124929,230999,405535,185988,219547,0.4241,70,0.3279,57,59
2,2,632197,363926,69603,166365,33463,7364,871,0,0,730979,410709,82541,195550,43894,8602,1038,0,0,745670,400547,96435,188408,52943,14818,1220,739331,413022,83488,199101,45505,9353,957,179949,39226,1624,263,19382,743129,411454,87243,198000,45244,10586,897,479233,293419,44327,116870,24350,4965,577,0,0,516281,331153,24931,134880,20454,4565,285,131315,18276,1426,285,1495,0,584067,332722,64157,140209,40031,10815,824,584067,332722,64157,129098,34810,1532,257,18653,529398,336458,29011,136660,21531,4952,259,0,0,0,0,538706,339039,32787,138268,22273,4688,169,133017,18917,1075,169,553566,339754,40341,140023,26936,4492,136,132965,23545,1007,136,311606,190249,118013,334061,202862,131199,222784,133815,82533,356956,221522,116605,355017,213525,130569,356258,229823,118713,346838,225955,120883,341817,214993,126824,350006,207957,130814,343558,228440,115118,341625,209029,132596,390782,254289,126698,411630,274360,129367,408652,257841,133350,410187,284224,119288,404456,273891,130565,400230,275096,125134,404622,266795,137827,401944,276450,125494,399301,252884,146417,379377,250417,119751,286185,190214,88995,284790,193408,91382,284394,191562,92832,283726,190633,93093,388449,262580,115786,413074,271772,132620,406430,298703,85918,406075,282207,123868,402473,259640,128380,406233,273366,121629,403304,281812,121492,400916,258518,142398,406172,268728,128809,401898,273516,128382,0.3973,59,0.2765,44,52
3,3,745163,425527,74681,229882,13172,8671,1877,0,0,771290,424514,90339,238644,17227,10982,2167,0,0,745670,396511,92928,228142,17748,18697,2600,773843,424003,91644,238847,17660,11183,2177,218015,9721,3111,590,25819,746190,403937,90963,230875,18234,11766,2456,563721,340962,45845,165053,9207,6100,1172,0,0,562950,343670,32866,171627,7416,5510,438,166509,5838,2396,438,2534,0,576660,323933,60800,169543,12771,13433,1813,576660,323933,60800,158960,8891,2629,825,18629,567670,343939,35516,173147,7565,5783,519,0,0,0,0,549770,328932,37620,166420,8298,6315,504,160029,6064,1890,504,555817,329539,41033,166225,8765,9040,435,158730,6351,2084,435,291631,140296,148342,298364,143119,155245,188674,85371,96770,305369,136203,159872,301570,132227,160092,302976,137310,160857,294406,141215,153191,290304,146183,144121,296957,132296,157643,291732,151473,140259,289792,136024,153768,326076,148641,170908,340722,153774,182097,337218,149618,172774,339286,161473,172922,333536,157387,176149,331478,162464,169014,334447,151480,182967,332467,162661,169806,329875,148980,180895,312498,141784,164878,215767,89218,121973,214649,92023,122626,214358,88977,125381,214420,89639,124781,318982,144189,168468,346080,147604,194722,338420,166072,156730,337126,156353,180773,332940,144735,178688,337740,151663,175518,336109,158480,177629,333241,144962,188279,304321,60930,196840,333159,150442,182717,0.5703,100,0.2677,42,53
4,4,580668,335052,58129,141983,44646,6246,742,0,0,694814,390270,69793,162662,69652,6719,1033,0,0,745671,395824,85915,162837,91532,14955,1034,709361,393859,71981,162128,76450,7301,1463,148106,66349,1849,337,22330,742958,404730,75801,167959,88404,9937,1437,439264,265249,37393,103765,31588,4219,453,0,0,479787,307035,20342,118391,29571,3954,212,114590,27424,1721,212,1335,0,574606,320577,56330,124857,64835,10683,736,574606,320577,56330,115856,59465,1250,162,18319,493297,313943,22989,118304,33098,4159,315,0,0,0,0,518982,326747,25646,122154,38840,4502,265,116847,36220,1234,265,537125,332539,33236,122062,42974,4727,361,115801,39338,1097,361,299532,204245,91954,316964,214539,102425,217874,148202,64362,357301,246910,92998,355122,237816,107781,356027,251798,97272,347062,246925,100137,341545,234172,107373,349320,232831,106447,343689,247339,96350,341578,231552,110026,396893,281375,106823,420149,303334,109939,417414,287767,114629,419142,311928,101442,412903,299869,113034,409204,300035,109169,413194,294574,118620,410510,300868,109642,407887,282261,125626,389938,279889,101880,313254,228639,78192,311794,229648,82146,311360,228995,82365,310913,228489,82424,408101,298053,101296,436896,312412,115447,431153,334632,78675,430440,321237,109203,426841,301546,112194,430146,313815,106308,427552,319035,108517,425216,300146,125070,428554,307816,112092,427168,314274,112894,0.491,96,0.2555,39,52
5,5,735392,542015,43136,133782,13472,6783,723,0,0,749476,536418,49091,142694,17382,7851,1165,0,0,745671,507354,59024,146858,20317,16024,925,755119,534674,51138,145411,18656,8163,1357,132534,16297,2668,534,14943,747241,519665,54884,146047,20308,9795,1514,572615,436797,26102,97848,9165,4813,452,0,0,573064,441882,15488,102936,7734,4503,381,100010,7040,2448,381,818,0,596194,421313,38431,111648,14529,12141,654,596194,421313,38431,103901,12366,1625,148,16577,576929,441329,17021,104668,8434,4554,450,0,0,0,0,573690,431792,20654,105466,9804,4894,452,101129,8637,1318,452,577174,428767,25777,106146,10284,5084,236,100709,8997,879,236,346363,163607,177645,343801,157426,186375,226307,98715,117279,361478,148539,199157,357870,145771,198636,359418,163840,187651,349069,162461,186608,342571,158597,183974,351574,144637,197133,344267,167717,176550,342288,147925,194363,384842,163417,212810,400898,167125,228735,397112,164080,215664,399254,181810,212189,393029,172258,220771,389019,171755,217264,394020,164268,229752,390603,174815,215788,388591,162547,226044,371211,157373,206307,273574,108417,158758,272974,109116,162483,271925,108397,163528,271756,109461,162295,379550,162786,208692,408268,165404,237629,400198,192708,188032,400523,178364,222159,395571,161351,223037,400562,170237,218883,397844,175043,222801,395709,162045,233664,400680,162322,238210,396619,170425,226194,0.2397,0,0.2186,30,37
6,6,679522,474167,57322,127105,18599,6633,639,0,0,723867,477454,69498,147501,26142,8963,1187,0,0,745671,466399,80826,153914,31495,18475,1005,727188,477387,70205,150112,27308,9689,1164,136014,23456,2303,222,15811,745437,478727,75809,156363,30408,11608,980,513507,375965,34201,88731,12481,4607,396,0,0,521905,383323,21228,102132,9816,5130,152,99344,8918,2065,152,1027,0,578293,382738,51069,111667,21727,13484,634,578293,382738,51069,103739,19452,1992,214,16995,528379,385617,22766,104277,10169,4913,125,0,0,0,0,545485,391066,26466,109309,12545,5262,152,104983,11332,968,152,559357,387639,32146,117447,15870,5535,265,110839,14162,717,265,300770,128260,168816,309164,128500,180664,194429,76533,110341,328056,125701,189948,324869,121660,189908,326091,137629,180475,318038,136259,181779,313478,132636,180842,319795,120247,190097,314237,139527,174710,312862,123111,189751,361402,148273,204594,381619,157036,218933,378787,152523,208513,379987,169822,204403,375617,161013,214604,372465,161272,211193,376141,154090,222051,373481,162927,210554,372047,152112,219935,349025,144209,197478,249509,97138,146760,248729,97626,150258,248416,96890,151526,248262,97143,151119,361139,154319,198186,391691,159349,226292,383691,186659,175009,384861,172733,212128,380508,154792,213989,384386,163771,208170,382561,167760,214801,380657,154517,226140,337473,349,233313,381389,164354,217035,0.408,63,0.2968,49,48
7,7,690515,457356,44971,158648,9997,25772,1562,0,0,751916,498173,54871,165699,13730,28459,1558,0,0,745671,478702,61609,160874,15766,34276,2172,764751,505137,57921,166116,13706,28892,1490,149202,8500,18960,638,22284,751035,493020,60183,160892,14890,28732,1301,533954,371366,27912,113104,6800,17709,923,0,0,576091,409904,22098,117425,6902,19425,318,113515,5129,14957,318,1524,0,593673,400999,39354,119140,11043,24895,1379,593673,400999,39354,110017,7627,12778,553,20249,587526,419020,23385,118398,6858,19828,277,0,0,0,0,579005,412174,26059,114964,7310,17822,308,109455,5338,12266,308,596699,425492,29260,115202,7835,17977,400,109009,5928,11711,400,312858,146246,162865,318815,148019,170796,209914,94315,105433,347162,145404,188896,341827,141075,187467,343345,153970,181425,332861,157638,175223,327774,152862,174912,335598,139731,185573,329094,160410,168684,326115,142381,183734,389123,170926,209262,415809,182076,227833,411118,174420,216739,413898,194931,212510,405445,185889,219556,400955,184727,216228,406502,178397,228105,403538,188900,214638,399406,172966,226440,381063,168135,204989,291260,123523,161339,290163,122538,167625,289531,123306,166225,289149,122684,166465,404164,181984,212842,443202,188294,249694,433295,221455,187044,433884,200533,233351,428826,180722,234523,433625,194049,227013,431324,197516,233808,428568,180708,247860,432311,178774,253499,429104,192373,236731,0.5375,100,0.2864,47,54
8,8,692442,452763,50183,125043,15862,52705,663,0,0,745411,472648,60105,137832,25100,53896,666,0,0,745671,453271,69986,137312,31786,57697,1013,753805,474314,61430,141259,27356,53899,629,129681,22859,47139,134,16686,751112,464144,65105,143244,31045,52100,736,506882,344826,29955,87155,10383,36513,408,0,0,534511,367491,19224,97535,11558,38177,149,95169,10401,35198,149,820,0,563332,358376,44048,99678,21043,41818,685,563332,358376,44048,92662,18535,30715,194,16784,543342,371229,21275,99497,12737,38220,106,0,0,0,0,542146,366768,23885,100674,14417,35937,100,96252,12896,31988,100,549671,364787,30102,101717,16336,36280,293,95807,14837,31037,293,298070,124410,169963,311264,127678,183586,198992,78414,112725,333489,125654,194792,329035,120504,195740,331307,131049,193563,320575,134461,186114,314953,130899,184054,323482,117566,197307,316175,137494,178681,314511,123348,191163,372257,148845,215214,397224,160781,231187,392693,151318,225065,395115,172103,217581,387068,162687,224381,383408,161960,221448,387948,155238,232710,385076,164786,220290,381819,149243,232576,362683,146641,208941,267607,103925,157896,266706,105050,161656,265649,103183,162466,265574,103174,162400,378097,156828,213098,409708,162358,241622,400624,186847,193098,401940,173811,228129,395459,157222,226733,400695,167151,223030,398561,168471,230090,395989,155925,240064,399748,161360,238361,396563,166310,230253,0.3187,27,0.2744,44,43
9,9,686560,444538,70326,151315,14180,14999,2151,0,0,729319,450879,83363,170620,17641,16646,2215,0,0,745671,437637,94277,177432,20803,25877,2651,738241,450644,86612,174354,18970,15833,2682,155092,13125,6679,1100,22183,750456,448418,91581,180637,20892,18956,2851,516920,353494,41848,106072,9759,9824,1307,0,0,535113,364244,30242,120984,9149,9234,576,116487,7787,5535,576,1744,0,577673,359252,60786,129182,14884,18440,1736,577673,359252,60786,118032,11384,5823,895,19419,543182,368382,32306,122333,9352,9422,788,0,0,0,0,553673,369073,36777,125560,10208,10431,707,119427,8023,4471,707,561334,366084,42125,129016,11404,10801,782,121733,8947,4501,782,293542,130131,159750,300048,128389,171659,195018,78759,109442,316101,126298,178638,313256,123386,178788,314109,134699,172718,306633,134308,172325,301803,133396,168407,308804,121622,178438,303422,139706,163716,301659,125358,176301,350917,149080,194283,372135,157604,209219,368906,153015,199337,370629,170979,194178,364893,161815,203078,361933,162073,199860,366192,155531,210661,363417,164517,198900,361458,153499,207959,340622,145326,188566,249603,99952,144271,248747,99451,148835,248298,100758,147540,248288,100212,148076,353158,153606,192054,382677,158552,219095,374733,183414,171843,375678,168762,206916,371636,154008,206881,375391,162395,201476,373564,167968,205596,371537,154740,216797,372918,140782,209979,371915,162714,209201,0.4394,76,0.1705,18,33
10,10,685786,482116,64450,122172,15901,5754,696,0,0,724162,497338,73013,130537,21969,6994,1196,0,0,745670,493055,84946,130655,24131,17568,1131,732361,498528,74898,133408,22851,7773,1226,119583,18804,1390,273,16287,749614,503753,81159,136035,23678,8980,1168,519898,382685,38185,87323,10238,3987,426,0,0,531814,401944,22980,93361,9568,3637,150,90694,8671,1305,150,891,0,581822,404468,53640,96473,16563,12711,767,581822,404468,53640,88958,14229,1420,253,17219,537978,404333,24453,95355,9682,3703,155,0,0,0,0,551965,411958,27857,96932,10215,3959,133,93393,8846,777,133,566434,417734,34193,96011,12903,4515,257,91122,11072,631,257,317195,141990,171379,321454,139184,182270,207865,84402,114527,340665,134426,192722,337434,129321,194100,338530,146131,184083,329713,145342,184371,323901,140032,183869,331862,126480,195832,325125,147394,177731,324062,128838,195224,376098,154379,212684,397624,164108,227817,394163,156438,219113,396218,175102,215138,390227,165110,225117,386727,166134,220593,390296,159534,230762,387366,167981,219385,385904,153410,232494,364952,150582,206578,269833,106070,157801,269003,103404,165270,268562,105204,163358,268380,106848,161532,380734,162025,210056,416353,168702,242192,407640,197325,188686,403230,179167,224063,402391,161882,228979,406277,171071,223908,403755,173860,229895,401805,160780,241025,406522,155283,233705,403498,171926,231572,0.2583,3,0.2717,43,38
11,11,695350,605350,38956,29319,6925,16507,935,0,0,729050,625311,45228,33004,9132,17206,755,0,0,745670,613832,57087,33066,10934,29250,1914,736215,630158,46939,33438,9728,17348,864,26767,7106,10823,391,12821,745996,632226,50532,34500,10137,17932,1093,556262,496343,24092,20396,4768,11492,563,0,0,573809,520287,14075,22612,4509,11765,173,21094,3594,8603,173,531,0,609924,516985,37835,23682,7822,21489,1302,609924,516985,37835,19492,5464,7823,501,19871,582366,525995,15492,23135,4963,12165,183,0,0,0,0,592729,531622,18412,23795,5779,12296,289,20651,4161,7656,289,601781,534023,23482,24351,6473,12285,360,19894,4440,6745,360,340507,156033,178588,335909,149184,186725,238342,106151,121237,373237,148019,207561,368201,151757,201162,369851,169241,189526,359042,163778,195264,353425,160971,192454,362431,149538,199737,354302,168700,185602,350884,150882,200002,410882,178627,222117,433723,189678,237270,429669,184170,227416,431737,201866,223044,424910,192317,232593,421146,192251,228895,426254,186260,239994,422684,194540,228144,419787,180562,239225,403742,177300,217257,322205,142743,171028,321846,142042,174476,320481,143313,177168,320651,146542,174109,415206,190379,215671,441237,196314,238078,433493,223153,190816,431939,206151,225788,425961,190481,222094,431974,198750,221172,430007,202064,227943,427315,191334,235981,432558,187005,245553,429138,200104,229034,0.2631,5,0.2649,41,53
12,12,628114,251657,89058,258332,30794,7689,1210,0,0,723906,270830,111344,297158,45094,8552,1194,0,0,745670,267498,131029,295073,48891,15630,1213,741208,274366,115800,303020,47716,8252,1117,286228,41871,1940,258,17594,745420,269843,120823,306602,47739,8941,744,472695,209575,57873,182429,22875,5275,794,0,0,483570,223599,29274,208826,16993,4099,77,203860,15437,1904,77,1808,0,580319,229032,87967,222293,36903,11502,852,580319,229032,87967,208149,32974,1585,297,16978,497265,227303,32387,214416,18442,3973,76,0,0,0,0,506539,225891,35867,220610,19088,3878,116,215141,17120,1153,116,519151,227618,42026,222116,22280,4195,185,215335,19819,963,185,266188,186386,77550,289626,205254,84372,160002,110717,45300,301193,213377,73884,297704,202179,85044,298912,212391,79272,291287,210756,80531,288556,204380,84176,293245,197382,85659,288422,209169,79253,286531,195975,90556,334024,240913,84314,354216,262589,85342,351558,245159,89721,352604,264395,81009,347754,257563,90191,344947,256264,88683,348393,255505,92888,346399,258853,87546,344144,240698,103446,319678,232962,78997,212280,154759,52714,212026,157128,54898,211460,154281,57179,211370,154691,56679,329381,243166,77733,355661,254946,91834,351902,272049,62803,352951,269337,83614,349752,250061,88504,351810,258006,83925,350838,260835,90003,349707,248680,101027,350988,259785,91203,350537,260178,90359,0.5712,100,0.2801,45,61
13,13,633977,428089,65152,130112,7674,8533,866,0,0,703173,465087,80500,144871,11002,9723,1611,0,0,745670,470899,97421,149850,13969,19679,1678,721373,473151,83686,150781,12227,10166,1817,133956,6832,2925,584,18473,755717,484882,93063,159674,13880,13134,1759,466165,327019,38418,93139,4856,5549,464,0,0,501707,361990,25959,102941,5068,5077,157,100208,3967,2572,157,1198,0,562248,372444,60116,109385,9134,13717,978,562248,372444,60116,101501,6313,2512,319,17049,517074,370220,29417,106669,5323,5191,269,0,0,0,0,543357,383694,33175,113781,6364,5964,325,109206,4714,1761,325,568436,392426,42292,118788,7803,6620,342,113261,5213,1569,342,272788,115224,154254,286750,117966,168784,191727,76718,107554,314339,119692,182050,311987,118122,183382,313312,129144,178049,305059,130418,174641,300751,134246,166505,308142,115616,184730,302907,143440,159467,300662,120831,179831,361944,147596,205976,389550,158090,225136,386294,152374,215348,388500,172170,210722,381059,164170,216889,378625,168658,209967,382472,155571,226901,380114,171617,208497,376700,150832,225868,355893,146551,201616,274381,110739,157388,272560,113114,159372,272707,113310,159397,272488,111858,160630,384610,164843,210447,425637,174774,244879,417410,205486,188787,417429,187259,230170,413348,169583,229438,417270,179932,224284,415361,191516,223845,412607,170041,242566,414962,171776,243129,412515,179469,233046,0.3794,52,0.1386,10,19
14,14,666351,506101,39576,98406,19405,5696,897,0,0,720626,514859,51810,123475,27559,7148,951,0,0,745671,504554,64454,128834,33737,17461,978,726184,514632,52921,126701,28703,7965,1262,112555,24403,1622,457,17631,747400,515005,59263,134144,32927,9020,1636,505213,397379,24811,67615,12944,3975,556,0,0,530319,410182,19242,84272,11850,4065,283,81447,10880,1435,283,984,0,579505,410318,42164,92298,23232,12850,648,579505,410318,42164,85143,20566,1539,203,17745,536578,412170,20862,85661,12436,4541,351,0,0,0,0,556680,418666,25832,91517,14926,4712,312,86975,13470,908,312,566660,417951,30558,94612,16228,5727,294,88109,14222,848,294,287718,117379,166972,301106,121395,179711,189283,74252,106748,329755,123066,193665,325484,119610,192123,327372,134163,185158,318157,132675,185482,313081,127556,185525,321215,114921,197134,313457,133653,179804,311484,119264,192220,370642,150130,212150,395579,163301,227009,391665,155228,219625,393708,173354,214856,387318,164741,222577,382729,162916,219813,386989,158535,228454,384384,166103,218281,381745,152813,228932,360235,148266,204810,262391,107500,149332,261862,107197,154357,261109,106910,154199,261080,109157,151923,376337,163284,204811,409053,171063,232469,400546,197229,181762,402319,185291,217028,397691,166593,219423,401596,176091,214800,399233,176448,222785,397743,165346,232397,401471,168357,233114,398518,176821,221697,0.2941,18,0.1602,15,20
